====================================================
INICIANDO EVALUACIÓN DE PRÁCTICA 3 - METAHEURÍSTICAS
====================================================

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelB.pkl
Generando dataset exploratorio para blackbox_modelB.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
Generación 1/2000 | Mejor Fitness: 0.0261 | Media Población: 0.0044
Generación 2/2000 | Mejor Fitness: 0.0517 | Media Población: 0.0081
Generación 3/2000 | Mejor Fitness: 0.0739 | Media Población: 0.0120
Generación 4/2000 | Mejor Fitness: 0.2272 | Media Población: 0.0344
Generación 5/2000 | Mejor Fitness: 0.2272 | Media Población: 0.0689
Generación 6/2000 | Mejor Fitness: 0.3850 | Media Población: 0.0734
Generación 7/2000 | Mejor Fitness: 0.3850 | Media Población: 0.0869
Generación 8/2000 | Mejor Fitness: 0.3850 | Media Población: 0.0868
Generación 9/2000 | Mejor Fitness: 0.3850 | Media Población: 0.0822
Generación 10/2000 | Mejor Fitness: 0.3850 | Media Población: 0.1482
Generación 11/2000 | Mejor Fitness: 0.3850 | Media Población: 0.1211
Generación 12/2000 | Mejor Fitness: 0.3850 | Media Población: 0.1055
Generación 13/2000 | Mejor Fitness: 0.3850 | Media Población: 0.1313
Generación 14/2000 | Mejor Fitness: 0.3850 | Media Población: 0.0883
Generación 15/2000 | Mejor Fitness: 0.3850 | Media Población: 0.1387
Generación 16/2000 | Mejor Fitness: 0.3850 | Media Población: 0.1033
Generación 17/2000 | Mejor Fitness: 0.3850 | Media Población: 0.1585
Generación 18/2000 | Mejor Fitness: 0.3850 | Media Población: 0.1552
Generación 19/2000 | Mejor Fitness: 0.4883 | Media Población: 0.2064
Generación 20/2000 | Mejor Fitness: 0.5261 | Media Población: 0.2036
Generación 21/2000 | Mejor Fitness: 0.7506 | Media Población: 0.3029
Generación 22/2000 | Mejor Fitness: 0.7506 | Media Población: 0.2130
Generación 23/2000 | Mejor Fitness: 0.7506 | Media Población: 0.3065
Generación 24/2000 | Mejor Fitness: 0.7506 | Media Población: 0.2554
