====================================================
INICIANDO EVALUACIÓN DE PRÁCTICA 3 - METAHEURÍSTICAS
====================================================

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelA.pkl
Generando dataset exploratorio para blackbox_modelA.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
Generación 1/1000 | Mejor Fitness: 0.1930 | Media Población: 0.0205
Generación 2/1000 | Mejor Fitness: 0.1930 | Media Población: 0.0228
Generación 3/1000 | Mejor Fitness: 0.1930 | Media Población: 0.0298
Generación 4/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0359
Generación 5/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0543
Generación 6/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0513
Generación 7/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0513
Generación 8/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0532
Generación 9/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0553
Generación 10/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0613
Generación 11/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0605
Generación 12/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0347
Generación 13/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0491
Generación 14/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0569
Generación 15/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0471
Generación 16/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0460
Generación 17/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0620
Generación 18/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0453
Generación 19/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0452
Generación 20/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0600
Generación 21/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0610
Generación 22/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0562
Generación 23/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0491
Generación 24/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0576
Generación 25/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0479
Generación 26/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0767
Generación 27/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0713
Generación 28/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0572
Generación 29/1000 | Mejor Fitness: 0.2619 | Media Población: 0.0599
Generación 30/1000 | Mejor Fitness: 0.3042 | Media Población: 0.0573
Generación 31/1000 | Mejor Fitness: 0.3042 | Media Población: 0.0728
Generación 32/1000 | Mejor Fitness: 0.3042 | Media Población: 0.0539
Generación 33/1000 | Mejor Fitness: 0.3042 | Media Población: 0.0526
Generación 34/1000 | Mejor Fitness: 0.3042 | Media Población: 0.0638
Generación 35/1000 | Mejor Fitness: 0.3086 | Media Población: 0.0707
Generación 36/1000 | Mejor Fitness: 0.3086 | Media Población: 0.0554
Generación 37/1000 | Mejor Fitness: 0.3086 | Media Población: 0.0652
Generación 38/1000 | Mejor Fitness: 0.3086 | Media Población: 0.0775
Generación 39/1000 | Mejor Fitness: 0.3086 | Media Población: 0.0644
Generación 40/1000 | Mejor Fitness: 0.3086 | Media Población: 0.0605
Generación 41/1000 | Mejor Fitness: 0.3086 | Media Población: 0.0600
Generación 42/1000 | Mejor Fitness: 0.3086 | Media Población: 0.0568
Generación 43/1000 | Mejor Fitness: 0.3197 | Media Población: 0.0633
Generación 44/1000 | Mejor Fitness: 0.3197 | Media Población: 0.0649
Generación 45/1000 | Mejor Fitness: 0.3197 | Media Población: 0.0709
Generación 46/1000 | Mejor Fitness: 0.3197 | Media Población: 0.0728
Generación 47/1000 | Mejor Fitness: 0.3197 | Media Población: 0.0600
Generación 48/1000 | Mejor Fitness: 0.3197 | Media Población: 0.0690
Generación 49/1000 | Mejor Fitness: 0.3197 | Media Población: 0.0677
Generación 50/1000 | Mejor Fitness: 0.3197 | Media Población: 0.0825
Generación 51/1000 | Mejor Fitness: 0.3197 | Media Población: 0.0822
Generación 52/1000 | Mejor Fitness: 0.3197 | Media Población: 0.0853
Generación 53/1000 | Mejor Fitness: 0.3197 | Media Población: 0.1036
Generación 54/1000 | Mejor Fitness: 0.3748 | Media Población: 0.1151
Generación 55/1000 | Mejor Fitness: 0.4664 | Media Población: 0.1044
Generación 56/1000 | Mejor Fitness: 0.5015 | Media Población: 0.1273
Generación 57/1000 | Mejor Fitness: 0.5015 | Media Población: 0.0991
Generación 58/1000 | Mejor Fitness: 0.5015 | Media Población: 0.1164
Generación 59/1000 | Mejor Fitness: 0.5015 | Media Población: 0.1159
Generación 60/1000 | Mejor Fitness: 0.5015 | Media Población: 0.1129
Generación 61/1000 | Mejor Fitness: 0.5881 | Media Población: 0.0922
Generación 62/1000 | Mejor Fitness: 0.5881 | Media Población: 0.0980
Generación 63/1000 | Mejor Fitness: 0.6017 | Media Población: 0.0951
Generación 64/1000 | Mejor Fitness: 0.6017 | Media Población: 0.1165
Generación 65/1000 | Mejor Fitness: 0.6017 | Media Población: 0.1304
Generación 66/1000 | Mejor Fitness: 0.6017 | Media Población: 0.1128
Generación 67/1000 | Mejor Fitness: 0.7128 | Media Población: 0.1614
Generación 68/1000 | Mejor Fitness: 0.7128 | Media Población: 0.1369
Generación 69/1000 | Mejor Fitness: 0.7438 | Media Población: 0.2015
Generación 70/1000 | Mejor Fitness: 0.7438 | Media Población: 0.1986
Generación 71/1000 | Mejor Fitness: 0.7438 | Media Población: 0.1758
Generación 72/1000 | Mejor Fitness: 0.7926 | Media Población: 0.1774
Generación 73/1000 | Mejor Fitness: 0.7926 | Media Población: 0.1784
Generación 74/1000 | Mejor Fitness: 0.7926 | Media Población: 0.2269
Generación 75/1000 | Mejor Fitness: 0.8326 | Media Población: 0.2835
