Generación 1/2000 | Mejor Fitness: 0.0617 | Media Población: 0.0045
Generación 2/2000 | Mejor Fitness: 0.0861 | Media Población: 0.0156
Generación 3/2000 | Mejor Fitness: 0.0861 | Media Población: 0.0363
Generación 4/2000 | Mejor Fitness: 0.1722 | Media Población: 0.0588
Generación 5/2000 | Mejor Fitness: 0.1722 | Media Población: 0.0671
Generación 6/2000 | Mejor Fitness: 0.1722 | Media Población: 0.0647
Generación 7/2000 | Mejor Fitness: 0.1722 | Media Población: 0.0506
Generación 8/2000 | Mejor Fitness: 0.1722 | Media Población: 0.0624
Generación 9/2000 | Mejor Fitness: 0.1722 | Media Población: 0.0810
Generación 10/2000 | Mejor Fitness: 0.1722 | Media Población: 0.1139
Generación 11/2000 | Mejor Fitness: 0.1722 | Media Población: 0.1114
Generación 12/2000 | Mejor Fitness: 0.1828 | Media Población: 0.1006
Generación 13/2000 | Mejor Fitness: 0.1900 | Media Población: 0.0863
Generación 14/2000 | Mejor Fitness: 0.2806 | Media Población: 0.1205
Generación 15/2000 | Mejor Fitness: 0.2806 | Media Población: 0.1161
Generación 16/2000 | Mejor Fitness: 0.3028 | Media Población: 0.1578
Generación 17/2000 | Mejor Fitness: 0.3044 | Media Población: 0.1802
Generación 18/2000 | Mejor Fitness: 0.4333 | Media Población: 0.1445
Generación 19/2000 | Mejor Fitness: 0.4333 | Media Población: 0.1965
Generación 20/2000 | Mejor Fitness: 0.5272 | Media Población: 0.2484
Generación 21/2000 | Mejor Fitness: 0.5272 | Media Población: 0.1734
Generación 22/2000 | Mejor Fitness: 0.5272 | Media Población: 0.2973
Generación 23/2000 | Mejor Fitness: 0.5272 | Media Población: 0.3302
Generación 24/2000 | Mejor Fitness: 0.5272 | Media Población: 0.2614
Generación 25/2000 | Mejor Fitness: 0.5272 | Media Población: 0.3023
Generación 26/2000 | Mejor Fitness: 0.5272 | Media Población: 0.3459
Generación 27/2000 | Mejor Fitness: 0.5294 | Media Población: 0.3801
Generación 28/2000 | Mejor Fitness: 0.5294 | Media Población: 0.2699
Generación 29/2000 | Mejor Fitness: 0.5294 | Media Población: 0.3959
Generación 30/2000 | Mejor Fitness: 0.5294 | Media Población: 0.2925
Generación 31/2000 | Mejor Fitness: 0.5294 | Media Población: 0.4027
Generación 32/2000 | Mejor Fitness: 0.5294 | Media Población: 0.2846
Generación 33/2000 | Mejor Fitness: 0.5294 | Media Población: 0.2928
Generación 34/2000 | Mejor Fitness: 0.5294 | Media Población: 0.2103
Generación 35/2000 | Mejor Fitness: 0.5294 | Media Población: 0.3284
Generación 36/2000 | Mejor Fitness: 0.5294 | Media Población: 0.3770
Generación 37/2000 | Mejor Fitness: 0.5294 | Media Población: 0.3038
Generación 38/2000 | Mejor Fitness: 0.5294 | Media Población: 0.3771
Generación 39/2000 | Mejor Fitness: 0.5294 | Media Población: 0.1534
Generación 40/2000 | Mejor Fitness: 0.5517 | Media Población: 0.1821
Generación 41/2000 | Mejor Fitness: 0.5517 | Media Población: 0.2399
Generación 42/2000 | Mejor Fitness: 0.5517 | Media Población: 0.3018
Generación 43/2000 | Mejor Fitness: 0.5517 | Media Población: 0.2904
Generación 44/2000 | Mejor Fitness: 0.5561 | Media Población: 0.3581
Generación 45/2000 | Mejor Fitness: 0.5694 | Media Población: 0.3504
Generación 46/2000 | Mejor Fitness: 0.5694 | Media Población: 0.3058
Generación 47/2000 | Mejor Fitness: 0.5694 | Media Población: 0.3214
Generación 48/2000 | Mejor Fitness: 0.5694 | Media Población: 0.3035
Generación 49/2000 | Mejor Fitness: 0.5694 | Media Población: 0.1924
Generación 50/2000 | Mejor Fitness: 0.5694 | Media Población: 0.2099
Generación 51/2000 | Mejor Fitness: 0.5694 | Media Población: 0.2463
Generación 52/2000 | Mejor Fitness: 0.5694 | Media Población: 0.2792
Generación 53/2000 | Mejor Fitness: 0.5694 | Media Población: 0.3189
Generación 54/2000 | Mejor Fitness: 0.5694 | Media Población: 0.3332
Generación 55/2000 | Mejor Fitness: 0.5711 | Media Población: 0.3534
Generación 56/2000 | Mejor Fitness: 0.5778 | Media Población: 0.3715
Generación 57/2000 | Mejor Fitness: 0.5778 | Media Población: 0.3454
Generación 58/2000 | Mejor Fitness: 0.5778 | Media Población: 0.2949
Generación 59/2000 | Mejor Fitness: 0.5778 | Media Población: 0.3481
Generación 60/2000 | Mejor Fitness: 0.6156 | Media Población: 0.2897
Generación 61/2000 | Mejor Fitness: 0.6156 | Media Población: 0.2723
Generación 62/2000 | Mejor Fitness: 0.6422 | Media Población: 0.3177
Generación 63/2000 | Mejor Fitness: 0.6422 | Media Población: 0.4000
Generación 64/2000 | Mejor Fitness: 0.6422 | Media Población: 0.4250
Generación 65/2000 | Mejor Fitness: 0.6422 | Media Población: 0.4238
Generación 66/2000 | Mejor Fitness: 0.6956 | Media Población: 0.4646
Generación 67/2000 | Mejor Fitness: 0.6956 | Media Población: 0.4289
Generación 68/2000 | Mejor Fitness: 0.6956 | Media Población: 0.4245
Generación 69/2000 | Mejor Fitness: 0.6956 | Media Población: 0.3522
Generación 70/2000 | Mejor Fitness: 0.6956 | Media Población: 0.4333
Generación 71/2000 | Mejor Fitness: 0.6956 | Media Población: 0.3456
Generación 72/2000 | Mejor Fitness: 0.6956 | Media Población: 0.4051
Generación 73/2000 | Mejor Fitness: 0.6956 | Media Población: 0.2944
Generación 74/2000 | Mejor Fitness: 0.6956 | Media Población: 0.4883
Generación 75/2000 | Mejor Fitness: 0.6956 | Media Población: 0.3386
Generación 76/2000 | Mejor Fitness: 0.6956 | Media Población: 0.2679
Generación 77/2000 | Mejor Fitness: 0.6956 | Media Población: 0.3160
Generación 78/2000 | Mejor Fitness: 0.6956 | Media Población: 0.4055
Generación 79/2000 | Mejor Fitness: 0.6956 | Media Población: 0.2174
Generación 80/2000 | Mejor Fitness: 0.6956 | Media Población: 0.2589
Generación 81/2000 | Mejor Fitness: 0.6956 | Media Población: 0.3198
Generación 82/2000 | Mejor Fitness: 0.6956 | Media Población: 0.3325
Generación 83/2000 | Mejor Fitness: 0.6956 | Media Población: 0.3742
Generación 84/2000 | Mejor Fitness: 0.6956 | Media Población: 0.4407
Generación 85/2000 | Mejor Fitness: 0.6956 | Media Población: 0.3961
Generación 86/2000 | Mejor Fitness: 0.6956 | Media Población: 0.3151
Generación 87/2000 | Mejor Fitness: 0.6956 | Media Población: 0.5171
