gen,mejorfitness,mediapoblacion
1,0.0617,0.0045
2,0.0861,0.0156
3,0.0861,0.0363
4,0.1722,0.0588
5,0.1722,0.0671
6,0.1722,0.0647
7,0.1722,0.0506
8,0.1722,0.0624
9,0.1722,0.0810
10,0.1722,0.1139
11,0.1722,0.1114
12,0.1828,0.1006
13,0.1900,0.0863
14,0.2806,0.1205
15,0.2806,0.1161
16,0.3028,0.1578
17,0.3044,0.1802
18,0.4333,0.1445
19,0.4333,0.1965
20,0.5272,0.2484
21,0.5272,0.1734
22,0.5272,0.2973
23,0.5272,0.3302
24,0.5272,0.2614
25,0.5272,0.3023
26,0.5272,0.3459
27,0.5294,0.3801
28,0.5294,0.2699
29,0.5294,0.3959
30,0.5294,0.2925
31,0.5294,0.4027
32,0.5294,0.2846
33,0.5294,0.2928
34,0.5294,0.2103
35,0.5294,0.3284
36,0.5294,0.3770
37,0.5294,0.3038
38,0.5294,0.3771
39,0.5294,0.1534
40,0.5517,0.1821
41,0.5517,0.2399
42,0.5517,0.3018
43,0.5517,0.2904
44,0.5561,0.3581
45,0.5694,0.3504
46,0.5694,0.3058
47,0.5694,0.3214
48,0.5694,0.3035
49,0.5694,0.1924
50,0.5694,0.2099
51,0.5694,0.2463
52,0.5694,0.2792
53,0.5694,0.3189
54,0.5694,0.3332
55,0.5711,0.3534
56,0.5778,0.3715
57,0.5778,0.3454
58,0.5778,0.2949
59,0.5778,0.3481
60,0.6156,0.2897
61,0.6156,0.2723
62,0.6422,0.3177
63,0.6422,0.4000
64,0.6422,0.4250
65,0.6422,0.4238
66,0.6956,0.4646
67,0.6956,0.4289
68,0.6956,0.4245
69,0.6956,0.3522
70,0.6956,0.4333
71,0.6956,0.3456
72,0.6956,0.4051
73,0.6956,0.2944
74,0.6956,0.4883
75,0.6956,0.3386
76,0.6956,0.2679
77,0.6956,0.3160
78,0.6956,0.4055
79,0.6956,0.2174
80,0.6956,0.2589
81,0.6956,0.3198
82,0.6956,0.3325
83,0.6956,0.3742
84,0.6956,0.4407
85,0.6956,0.3961
86,0.6956,0.3151
87,0.6956,0.5171
88,0.6956,0.4061
89,0.6956,0.5032
90,0.6956,0.5418
91,0.6956,0.4495
92,0.6956,0.3823
93,0.6956,0.5428
94,0.6956,0.4597
95,0.6956,0.2908
96,0.6956,0.2909
97,0.7000,0.3112
98,0.7000,0.3095
99,0.7000,0.2147
100,0.7000,0.3065
101,0.7000,0.3852
102,0.7000,0.4104
103,0.7000,0.4694
104,0.7000,0.4180
105,0.7000,0.3294
106,0.7000,0.3428
107,0.7000,0.3794
108,0.7000,0.4352
109,0.7000,0.3187
110,0.7000,0.3846
111,0.7000,0.3781
112,0.7000,0.3342
113,0.7000,0.4191
114,0.7000,0.4911
115,0.7000,0.4627
116,0.7000,0.3917
117,0.7000,0.4847
118,0.7000,0.4264
119,0.7000,0.3831
120,0.7000,0.3209
121,0.7000,0.4348
122,0.7000,0.4379
123,0.7000,0.4982
124,0.7000,0.4011
125,0.7000,0.4902
126,0.7000,0.3709
127,0.7000,0.5123
128,0.7000,0.4022
129,0.7000,0.3777
130,0.7000,0.3209
131,0.7000,0.3471
132,0.7044,0.3589
133,0.7044,0.3216
134,0.7044,0.4112
135,0.7044,0.3929
136,0.7044,0.5004
137,0.7044,0.4392
138,0.7044,0.4477
139,0.7044,0.4957
140,0.7044,0.3843
141,0.7044,0.3154
142,0.7044,0.3925
143,0.7044,0.4030
144,0.7044,0.4015
145,0.7044,0.3274
146,0.7044,0.4198
147,0.7044,0.5201
148,0.7044,0.3766
149,0.7089,0.4529
150,0.7089,0.4745
151,0.7089,0.2854
152,0.7089,0.3076
153,0.7089,0.4445
154,0.7089,0.4533
155,0.7222,0.4327
156,0.7222,0.3517
157,0.7222,0.4422
158,0.7222,0.4679
159,0.7222,0.4071
160,0.7222,0.3578
161,0.7222,0.4094
162,0.7222,0.4793
163,0.7222,0.5437
164,0.7222,0.3944
165,0.7222,0.4683
166,0.7222,0.3322
167,0.7222,0.4131
168,0.7222,0.4369
169,0.7222,0.5141
170,0.7222,0.4111
171,0.7222,0.3339
172,0.7222,0.3952
173,0.7222,0.4976
174,0.7222,0.4325
175,0.7222,0.3230
176,0.7222,0.3779
177,0.7222,0.4325
178,0.7222,0.4459
179,0.7222,0.4267
180,0.7222,0.3995
181,0.7222,0.4226
182,0.7222,0.4132
183,0.7222,0.5060
184,0.7222,0.4016
185,0.7222,0.4749
186,0.7222,0.3861
187,0.7222,0.5201
188,0.7222,0.4430
189,0.7222,0.4189
190,0.7222,0.3411
191,0.7222,0.4559
192,0.7222,0.5082
193,0.7222,0.4490
194,0.7222,0.3678
195,0.7222,0.3736
