gen,mejorfitness,mediapoblacion
1,0.0261,0.0044
2,0.0517,0.0081
3,0.0739,0.0120
4,0.2272,0.0344
5,0.2272,0.0689
6,0.3850,0.0734
7,0.3850,0.0869
8,0.3850,0.0868
9,0.3850,0.0822
10,0.3850,0.1482
11,0.3850,0.1211
12,0.3850,0.1055
13,0.3850,0.1313
14,0.3850,0.0883
15,0.3850,0.1387
16,0.3850,0.1033
17,0.3850,0.1585
18,0.3850,0.1552
19,0.4883,0.2064
20,0.5261,0.2036
21,0.7506,0.3029
22,0.7506,0.2130
23,0.7506,0.3065
24,0.7506,0.2554
25,0.7506,0.3110
26,0.7506,0.3043
27,0.7506,0.3492
28,0.7506,0.3701
29,0.7506,0.4352
30,0.7506,0.4395
31,0.7506,0.3438
32,0.7506,0.2541
33,0.7983,0.3669
34,0.7983,0.5010
35,0.7983,0.4111
36,0.7983,0.3286
37,0.8428,0.4743
38,0.8428,0.4278
39,0.9517,0.3100
40,0.9517,0.3005
41,0.9517,0.5469
42,0.9517,0.4902
43,0.9517,0.4689
44,0.9517,0.5693
45,0.9517,0.4901
46,0.9517,0.4886
47,0.9517,0.5346
48,0.9517,0.5304
49,0.9517,0.4775
50,0.9517,0.6514
51,0.9517,0.7283
52,0.9517,0.6816
53,0.9517,0.6146
54,0.9517,0.6118
55,0.9517,0.4102
56,0.9517,0.5249
57,0.9517,0.5584
58,0.9517,0.4172
59,0.9517,0.6125
60,0.9517,0.5689
61,0.9517,0.4140
62,0.9517,0.5707
63,0.9517,0.6156
64,0.9517,0.7090
65,0.9517,0.7021
66,0.9517,0.7138
67,0.9517,0.5696
68,0.9517,0.5613
69,0.9517,0.5218
70,0.9517,0.3812
71,0.9517,0.4731
72,0.9517,0.7437
73,0.9517,0.6145
74,0.9517,0.4412
75,0.9517,0.5377
76,0.9517,0.5697
77,0.9517,0.4863
78,0.9517,0.6722
79,0.9517,0.7007
80,0.9517,0.5214
81,0.9517,0.4414
82,0.9517,0.5918
83,0.9517,0.5357
84,0.9517,0.3914
85,0.9517,0.4515
86,0.9517,0.6423
